senator,c1,c2,c3,c4,c5,c6,c7,c8
"Hyde-Smith, Cindy","Committee on Agriculture, Nutrition, and Forestry",Committee on Appropriations,Committee on Energy and Natural Resources,Committee on Rules and Administration,Joint Committee on the Library,,,
"Johnson, Ron",Committee on Finance,Committee on Homeland Security and Governmental Affairs,Committee on the Budget,,,,,
"Kaine, Tim",Committee on Armed Services,Committee on Foreign Relations,"Committee on Health, Education, Labor, and Pensions",Committee on the Budget,,,,
"Kelly, Mark",Committee on Armed Services,Committee on Environment and Public Works,Joint Economic Committee,Select Committee on Intelligence,Special Committee on Aging,,,
"Kennedy, John",Committee on Appropriations,"Committee on Banking, Housing, and Urban Affairs",Committee on Small Business and Entrepreneurship,Committee on the Budget,Committee on the Judiciary,,,
"King, Angus S., Jr.",Committee on Armed Services,Committee on Energy and Natural Resources,Committee on Veterans' Affairs,Select Committee on Intelligence,,,,
"Klobuchar, Amy","Committee on Agriculture, Nutrition, and Forestry","Committee on Commerce, Science, and Transportation",Committee on Rules and Administration,Committee on the Judiciary,Joint Committee on Printing,Joint Committee on the Library,Joint Economic Committee,
"Lankford, James",Committee on Finance,Committee on Homeland Security and Governmental Affairs,Select Committee on Ethics,Select Committee on Intelligence,,,,
"Lee, Mike",Committee on Energy and Natural Resources,Committee on the Budget,Committee on the Judiciary,Joint Economic Committee,,,,
"Luján, Ben Ray","Committee on Agriculture, Nutrition, and Forestry","Committee on Commerce, Science, and Transportation","Committee on Health, Education, Labor, and Pensions",Committee on Indian Affairs,Committee on the Budget,United States Senate Caucus on International Narcotics Control,,
"Lummis, Cynthia M.","Committee on Banking, Housing, and Urban Affairs","Committee on Commerce, Science, and Transportation",Committee on Environment and Public Works,,,,,
"Manchin, Joe, III",Committee on Appropriations,Committee on Armed Services,Committee on Energy and Natural Resources,Committee on Veterans' Affairs,,,,
"Markey, Edward J.","Committee on Commerce, Science, and Transportation",Committee on Environment and Public Works,"Committee on Health, Education, Labor, and Pensions",Committee on Small Business and Entrepreneurship,,,,
"Marshall, Roger","Committee on Agriculture, Nutrition, and Forestry","Committee on Health, Education, Labor, and Pensions",Committee on Homeland Security and Governmental Affairs,Committee on the Budget,,,,
"McConnell, Mitch","Committee on Agriculture, Nutrition, and Forestry",Committee on Appropriations,Committee on Rules and Administration,Select Committee on Intelligence,,,,
"Menendez, Robert","Committee on Banking, Housing, and Urban Affairs",Committee on Finance,Committee on Foreign Relations,,,,,
"Merkley, Jeff",Committee on Appropriations,Committee on Environment and Public Works,Committee on Foreign Relations,Committee on Rules and Administration,Committee on the Budget,Joint Committee on Printing,,
"Moran, Jerry",Committee on Appropriations,"Committee on Commerce, Science, and Transportation",Committee on Veterans' Affairs,Select Committee on Intelligence,,,,
"Mullin, Markwayne",Committee on Armed Services,Committee on Environment and Public Works,"Committee on Health, Education, Labor, and Pensions",Committee on Indian Affairs,,,,
"Murkowski, Lisa",Committee on Appropriations,Committee on Energy and Natural Resources,"Committee on Health, Education, Labor, and Pensions",Committee on Indian Affairs,,,,
"Murphy, Christopher",Committee on Appropriations,Committee on Foreign Relations,"Committee on Health, Education, Labor, and Pensions",,,,,
"Murray, Patty",Committee on Appropriations,"Committee on Health, Education, Labor, and Pensions",Committee on the Budget,Committee on Veterans' Affairs,,,,
"Ossoff, Jon",Committee on Homeland Security and Governmental Affairs,Committee on Rules and Administration,Committee on the Judiciary,Joint Committee on the Library,Select Committee on Intelligence,,,
"Padilla, Alex",Committee on Energy and Natural Resources,Committee on Environment and Public Works,Committee on Rules and Administration,Committee on the Budget,Committee on the Judiciary,Joint Committee on Printing,,
"Paul, Rand",Committee on Foreign Relations,"Committee on Health, Education, Labor, and Pensions",Committee on Homeland Security and Governmental Affairs,Committee on Small Business and Entrepreneurship,,,,
"Peters, Gary C.",Committee on Appropriations,Committee on Armed Services,"Committee on Commerce, Science, and Transportation",Committee on Homeland Security and Governmental Affairs,,,,
"Reed, Jack",Committee on Appropriations,Committee on Armed Services,"Committee on Banking, Housing, and Urban Affairs",Select Committee on Intelligence,,,,
"Ricketts, Pete",Committee on Environment and Public Works,Committee on Foreign Relations,Special Committee on Aging,,,,,
"Risch, James E.",Committee on Energy and Natural Resources,Committee on Foreign Relations,Committee on Small Business and Entrepreneurship,Select Committee on Ethics,Select Committee on Intelligence,United States Senate Caucus on International Narcotics Control,,
"Romney, Mitt",Committee on Foreign Relations,"Committee on Health, Education, Labor, and Pensions",Committee on Homeland Security and Governmental Affairs,Committee on the Budget,,,,
"Rosen, Jacky",Committee on Armed Services,"Committee on Commerce, Science, and Transportation",Committee on Homeland Security and Governmental Affairs,Committee on Small Business and Entrepreneurship,,,,
"Rounds, Mike",Committee on Armed Services,"Committee on Banking, Housing, and Urban Affairs",Committee on Indian Affairs,Committee on Veterans' Affairs,Select Committee on Intelligence,,,
"Rubio, Marco",Committee on Appropriations,Committee on Foreign Relations,Committee on Small Business and Entrepreneurship,Select Committee on Intelligence,Special Committee on Aging,,,
"Sanders, Bernard",Committee on Energy and Natural Resources,Committee on Environment and Public Works,"Committee on Health, Education, Labor, and Pensions",Committee on the Budget,Committee on Veterans' Affairs,,,
"Schatz, Brian",Committee on Appropriations,"Committee on Commerce, Science, and Transportation",Committee on Foreign Relations,Committee on Indian Affairs,Select Committee on Ethics,,,
"Schmitt, Eric",Committee on Armed Services,"Committee on Commerce, Science, and Transportation",Joint Economic Committee,,,,,
"Schumer, Charles E.",Committee on Rules and Administration,Select Committee on Intelligence,,,,,,
"Scott, Rick",Committee on Armed Services,Committee on Homeland Security and Governmental Affairs,Committee on the Budget,Special Committee on Aging,,,,
"Scott, Tim",Commission on Security and Cooperation in Europe,"Committee on Banking, Housing, and Urban Affairs",Committee on Finance,Committee on Foreign Relations,Committee on Small Business and Entrepreneurship,Special Committee on Aging,,
"Shaheen, Jeanne",Commission on Security and Cooperation in Europe,Committee on Appropriations,Committee on Armed Services,Committee on Foreign Relations,Committee on Small Business and Entrepreneurship,Select Committee on Ethics,,
"Sinema, Kyrsten",Committee on Appropriations,"Committee on Commerce, Science, and Transportation",Committee on Homeland Security and Governmental Affairs,Committee on Veterans' Affairs,,,,
"Smith, Tina",Commission on Security and Cooperation in Europe,"Committee on Agriculture, Nutrition, and Forestry","Committee on Banking, Housing, and Urban Affairs","Committee on Health, Education, Labor, and Pensions",Committee on Indian Affairs,,,
"Stabenow, Debbie","Committee on Agriculture, Nutrition, and Forestry",Committee on Environment and Public Works,Committee on Finance,Committee on the Budget,Joint Committee on Taxation,,,
"Sullivan, Dan",Committee on Armed Services,"Committee on Commerce, Science, and Transportation",Committee on Environment and Public Works,Committee on Veterans' Affairs,,,,
"Tester, Jon",Committee on Appropriations,"Committee on Banking, Housing, and Urban Affairs","Committee on Commerce, Science, and Transportation",Committee on Indian Affairs,Committee on Veterans' Affairs,,,
"Thune, John","Committee on Agriculture, Nutrition, and Forestry","Committee on Commerce, Science, and Transportation",Committee on Finance,,,,,
"Tillis, Thom",Commission on Security and Cooperation in Europe,"Committee on Banking, Housing, and Urban Affairs",Committee on Finance,Committee on the Judiciary,Committee on Veterans' Affairs,,,
"Tuberville, Tommy","Committee on Agriculture, Nutrition, and Forestry",Committee on Armed Services,"Committee on Health, Education, Labor, and Pensions",Committee on Veterans' Affairs,,,,
"Van Hollen, Chris",Committee on Appropriations,"Committee on Banking, Housing, and Urban Affairs",Committee on Foreign Relations,Committee on the Budget,,,,
"Vance, J.D.","Committee on Banking, Housing, and Urban Affairs","Committee on Commerce, Science, and Transportation",Joint Economic Committee,Special Committee on Aging,,,,
"Warner, Mark R.","Committee on Banking, Housing, and Urban Affairs",Committee on Finance,Committee on Rules and Administration,Committee on the Budget,Joint Committee on the Library,Select Committee on Intelligence,,
"Warnock, Raphael G.","Committee on Agriculture, Nutrition, and Forestry","Committee on Banking, Housing, and Urban Affairs","Committee on Commerce, Science, and Transportation",Special Committee on Aging,,,,
"Warren, Elizabeth",Committee on Armed Services,"Committee on Banking, Housing, and Urban Affairs",Committee on Finance,Special Committee on Aging,,,,
"Welch, Peter","Committee on Agriculture, Nutrition, and Forestry","Committee on Commerce, Science, and Transportation",Committee on Rules and Administration,Committee on the Judiciary,Joint Economic Committee,,,
"Whitehouse, Sheldon",Commission on Security and Cooperation in Europe,Committee on Environment and Public Works,Committee on Finance,Committee on the Budget,Committee on the Judiciary,United States Senate Caucus on International Narcotics Control,,
"Wicker, Roger F.",Commission on Security and Cooperation in Europe,Committee on Armed Services,"Committee on Commerce, Science, and Transportation",Committee on Environment and Public Works,Committee on Rules and Administration,Select Committee on Intelligence,,
"Wyden, Ron",Committee on Energy and Natural Resources,Committee on Finance,Committee on the Budget,Joint Committee on Taxation,Select Committee on Intelligence,,,
"Young, Todd","Committee on Commerce, Science, and Transportation",Committee on Finance,Committee on Foreign Relations,Committee on Small Business and Entrepreneurship,,,,
,,,,,,,,
