senator,committee_1,committee_2,committee_3,committee_4,committee_5,committee_6,committee_7,committee_8,first_name,last_name,full_name
"Grassley, Chuck","Committee on Agriculture, Nutrition, and Forestry",Committee on Finance,Committee on the Budget,Committee on the Judiciary,Joint Committee on Taxation,United States Senate Caucus on International Narcotics Control,,,Chuck,Grassley,Chuck Grassley
"Hagerty, Bill",Committee on Appropriations,"Committee on Banking, Housing, and Urban Affairs",Committee on Foreign Relations,Committee on Rules and Administration,Joint Committee on Printing,,,,Bill,Hagerty,Bill Hagerty
"Hassan, Margaret Wood",Committee on Finance,"Committee on Health, Education, Labor, and Pensions",Committee on Homeland Security and Governmental Affairs,Committee on Veterans' Affairs,Joint Economic Committee,United States Senate Caucus on International Narcotics Control,,,Margaret,Hassan,Margaret Wood Hassan
"Hawley, Josh",Committee on Energy and Natural Resources,Committee on Homeland Security and Governmental Affairs,Committee on Small Business and Entrepreneurship,Committee on the Judiciary,,,,,Josh,Hawley,Josh Hawley
"Heinrich, Martin",Committee on Appropriations,Committee on Energy and Natural Resources,Joint Economic Committee,Select Committee on Intelligence,,,,,Martin,Heinrich,Martin Heinrich
"Hickenlooper, John W.","Committee on Commerce, Science, and Transportation",Committee on Energy and Natural Resources,"Committee on Health, Education, Labor, and Pensions",Committee on Small Business and Entrepreneurship,,,,,John,Hickenlooper,John W. Hickenlooper
"Hirono, Mazie K.",Committee on Armed Services,Committee on Energy and Natural Resources,Committee on Small Business and Entrepreneurship,Committee on the Judiciary,Committee on Veterans' Affairs,,,,Mazie,Hirono,Mazie K. Hirono
"Hoeven, John","Committee on Agriculture, Nutrition, and Forestry",Committee on Appropriations,Committee on Energy and Natural Resources,Committee on Indian Affairs,,,,,John,Hoeven,John Hoeven
"Hyde-Smith, Cindy","Committee on Agriculture, Nutrition, and Forestry",Committee on Appropriations,Committee on Energy and Natural Resources,Committee on Rules and Administration,Joint Committee on the Library,,,,Cindy,Hyde-Smith,Cindy Hyde-Smith
"Johnson, Ron",Committee on Finance,Committee on Homeland Security and Governmental Affairs,Committee on the Budget,,,,,,Ron,Johnson,Ron Johnson
"Kaine, Tim",Committee on Armed Services,Committee on Foreign Relations,"Committee on Health, Education, Labor, and Pensions",Committee on the Budget,,,,,Tim,Kaine,Tim Kaine
"Kelly, Mark",Committee on Armed Services,Committee on Environment and Public Works,Joint Economic Committee,Select Committee on Intelligence,Special Committee on Aging,,,,Mark,Kelly,Mark Kelly
"Kennedy, John",Committee on Appropriations,"Committee on Banking, Housing, and Urban Affairs",Committee on Small Business and Entrepreneurship,Committee on the Budget,Committee on the Judiciary,,,,John,Kennedy,John Kennedy
"King, Angus S., Jr.",Committee on Armed Services,Committee on Energy and Natural Resources,Committee on Veterans' Affairs,Select Committee on Intelligence,,,,,Angus,King,Angus S. King
"Klobuchar, Amy","Committee on Agriculture, Nutrition, and Forestry","Committee on Commerce, Science, and Transportation",Committee on Rules and Administration,Committee on the Judiciary,Joint Committee on Printing,Joint Committee on the Library,Joint Economic Committee,,Amy,Klobuchar,Amy Klobuchar
"Lankford, James",Committee on Finance,Committee on Homeland Security and Governmental Affairs,Select Committee on Ethics,Select Committee on Intelligence,,,,,James,Lankford,James Lankford
"Lee, Mike",Committee on Energy and Natural Resources,Committee on the Budget,Committee on the Judiciary,Joint Economic Committee,,,,,Mike,Lee,Mike Lee
"Luján, Ben Ray","Committee on Agriculture, Nutrition, and Forestry","Committee on Commerce, Science, and Transportation","Committee on Health, Education, Labor, and Pensions",Committee on Indian Affairs,Committee on the Budget,United States Senate Caucus on International Narcotics Control,,,Ben,Luján,Ben Ray Luján
"Lummis, Cynthia M.","Committee on Banking, Housing, and Urban Affairs","Committee on Commerce, Science, and Transportation",Committee on Environment and Public Works,,,,,,Cynthia,Lummis,Cynthia M. Lummis
"Manchin, Joe, III",Committee on Appropriations,Committee on Armed Services,Committee on Energy and Natural Resources,Committee on Veterans' Affairs,,,,,Joe,Manchin,Joe Manchin
"Markey, Edward J.","Committee on Commerce, Science, and Transportation",Committee on Environment and Public Works,"Committee on Health, Education, Labor, and Pensions",Committee on Small Business and Entrepreneurship,,,,,Edward,Markey,Edward J. Markey
"Marshall, Roger","Committee on Agriculture, Nutrition, and Forestry","Committee on Health, Education, Labor, and Pensions",Committee on Homeland Security and Governmental Affairs,Committee on the Budget,,,,,Roger,Marshall,Roger Marshall
"McConnell, Mitch","Committee on Agriculture, Nutrition, and Forestry",Committee on Appropriations,Committee on Rules and Administration,Select Committee on Intelligence,,,,,Mitch,McConnell,Mitch McConnell
"Menendez, Robert","Committee on Banking, Housing, and Urban Affairs",Committee on Finance,Committee on Foreign Relations,,,,,,Robert,Menendez,Robert Menendez
"Merkley, Jeff",Committee on Appropriations,Committee on Environment and Public Works,Committee on Foreign Relations,Committee on Rules and Administration,Committee on the Budget,Joint Committee on Printing,,,Jeff,Merkley,Jeff Merkley
"Moran, Jerry",Committee on Appropriations,"Committee on Commerce, Science, and Transportation",Committee on Veterans' Affairs,Select Committee on Intelligence,,,,,Jerry,Moran,Jerry Moran
"Mullin, Markwayne",Committee on Armed Services,Committee on Environment and Public Works,"Committee on Health, Education, Labor, and Pensions",Committee on Indian Affairs,,,,,Markwayne,Mullin,Markwayne Mullin
"Murkowski, Lisa",Committee on Appropriations,Committee on Energy and Natural Resources,"Committee on Health, Education, Labor, and Pensions",Committee on Indian Affairs,,,,,Lisa,Murkowski,Lisa Murkowski
"Murphy, Christopher",Committee on Appropriations,Committee on Foreign Relations,"Committee on Health, Education, Labor, and Pensions",,,,,,Christopher,Murphy,Christopher Murphy
"Murray, Patty",Committee on Appropriations,"Committee on Health, Education, Labor, and Pensions",Committee on the Budget,Committee on Veterans' Affairs,,,,,Patty,Murray,Patty Murray
"Ossoff, Jon",Committee on Homeland Security and Governmental Affairs,Committee on Rules and Administration,Committee on the Judiciary,Joint Committee on the Library,Select Committee on Intelligence,,,,Jon,Ossoff,Jon Ossoff
"Padilla, Alex",Committee on Energy and Natural Resources,Committee on Environment and Public Works,Committee on Rules and Administration,Committee on the Budget,Committee on the Judiciary,Joint Committee on Printing,,,Alex,Padilla,Alex Padilla
"Paul, Rand",Committee on Foreign Relations,"Committee on Health, Education, Labor, and Pensions",Committee on Homeland Security and Governmental Affairs,Committee on Small Business and Entrepreneurship,,,,,Rand,Paul,Rand Paul
"Peters, Gary C.",Committee on Appropriations,Committee on Armed Services,"Committee on Commerce, Science, and Transportation",Committee on Homeland Security and Governmental Affairs,,,,,Gary,Peters,Gary C. Peters
"Reed, Jack",Committee on Appropriations,Committee on Armed Services,"Committee on Banking, Housing, and Urban Affairs",Select Committee on Intelligence,,,,,Jack,Reed,Jack Reed
"Ricketts, Pete",Committee on Environment and Public Works,Committee on Foreign Relations,Special Committee on Aging,,,,,,Pete,Ricketts,Pete Ricketts
"Risch, James E.",Committee on Energy and Natural Resources,Committee on Foreign Relations,Committee on Small Business and Entrepreneurship,Select Committee on Ethics,Select Committee on Intelligence,United States Senate Caucus on International Narcotics Control,,,James,Risch,James E. Risch
"Romney, Mitt",Committee on Foreign Relations,"Committee on Health, Education, Labor, and Pensions",Committee on Homeland Security and Governmental Affairs,Committee on the Budget,,,,,Mitt,Romney,Mitt Romney
"Rosen, Jacky",Committee on Armed Services,"Committee on Commerce, Science, and Transportation",Committee on Homeland Security and Governmental Affairs,Committee on Small Business and Entrepreneurship,,,,,Jacky,Rosen,Jacky Rosen
"Rounds, Mike",Committee on Armed Services,"Committee on Banking, Housing, and Urban Affairs",Committee on Indian Affairs,Committee on Veterans' Affairs,Select Committee on Intelligence,,,,Mike,Rounds,Mike Rounds
"Rubio, Marco",Committee on Appropriations,Committee on Foreign Relations,Committee on Small Business and Entrepreneurship,Select Committee on Intelligence,Special Committee on Aging,,,,Marco,Rubio,Marco Rubio
"Sanders, Bernard",Committee on Energy and Natural Resources,Committee on Environment and Public Works,"Committee on Health, Education, Labor, and Pensions",Committee on the Budget,Committee on Veterans' Affairs,,,,Bernard,Sanders,Bernard Sanders
"Schatz, Brian",Committee on Appropriations,"Committee on Commerce, Science, and Transportation",Committee on Foreign Relations,Committee on Indian Affairs,Select Committee on Ethics,,,,Brian,Schatz,Brian Schatz
"Schmitt, Eric",Committee on Armed Services,"Committee on Commerce, Science, and Transportation",Joint Economic Committee,,,,,,Eric,Schmitt,Eric Schmitt
"Schumer, Charles E.",Committee on Rules and Administration,Select Committee on Intelligence,,,,,,,Charles,Schumer,Charles E. Schumer
"Scott, Rick",Committee on Armed Services,Committee on Homeland Security and Governmental Affairs,Committee on the Budget,Special Committee on Aging,,,,,Rick,Scott,Rick Scott
"Scott, Tim",Commission on Security and Cooperation in Europe,"Committee on Banking, Housing, and Urban Affairs",Committee on Finance,Committee on Foreign Relations,Committee on Small Business and Entrepreneurship,Special Committee on Aging,,,Tim,Scott,Tim Scott
"Shaheen, Jeanne",Commission on Security and Cooperation in Europe,Committee on Appropriations,Committee on Armed Services,Committee on Foreign Relations,Committee on Small Business and Entrepreneurship,Select Committee on Ethics,,,Jeanne,Shaheen,Jeanne Shaheen
"Sinema, Kyrsten",Committee on Appropriations,"Committee on Commerce, Science, and Transportation",Committee on Homeland Security and Governmental Affairs,Committee on Veterans' Affairs,,,,,Kyrsten,Sinema,Kyrsten Sinema
"Smith, Tina",Commission on Security and Cooperation in Europe,"Committee on Agriculture, Nutrition, and Forestry","Committee on Banking, Housing, and Urban Affairs","Committee on Health, Education, Labor, and Pensions",Committee on Indian Affairs,,,,Tina,Smith,Tina Smith
"Stabenow, Debbie","Committee on Agriculture, Nutrition, and Forestry",Committee on Environment and Public Works,Committee on Finance,Committee on the Budget,Joint Committee on Taxation,,,,Debbie,Stabenow,Debbie Stabenow
"Sullivan, Dan",Committee on Armed Services,"Committee on Commerce, Science, and Transportation",Committee on Environment and Public Works,Committee on Veterans' Affairs,,,,,Dan,Sullivan,Dan Sullivan
"Tester, Jon",Committee on Appropriations,"Committee on Banking, Housing, and Urban Affairs","Committee on Commerce, Science, and Transportation",Committee on Indian Affairs,Committee on Veterans' Affairs,,,,Jon,Tester,Jon Tester
"Thune, John","Committee on Agriculture, Nutrition, and Forestry","Committee on Commerce, Science, and Transportation",Committee on Finance,,,,,,John,Thune,John Thune
"Tillis, Thom",Commission on Security and Cooperation in Europe,"Committee on Banking, Housing, and Urban Affairs",Committee on Finance,Committee on the Judiciary,Committee on Veterans' Affairs,,,,Thom,Tillis,Thom Tillis
"Tuberville, Tommy","Committee on Agriculture, Nutrition, and Forestry",Committee on Armed Services,"Committee on Health, Education, Labor, and Pensions",Committee on Veterans' Affairs,,,,,Tommy,Tuberville,Tommy Tuberville
"Van Hollen, Chris",Committee on Appropriations,"Committee on Banking, Housing, and Urban Affairs",Committee on Foreign Relations,Committee on the Budget,,,,,Chris,Hollen,Chris Van Hollen
"Vance, J.D.","Committee on Banking, Housing, and Urban Affairs","Committee on Commerce, Science, and Transportation",Joint Economic Committee,Special Committee on Aging,,,,,J.D.,Vance,J.D. Vance
"Warner, Mark R.","Committee on Banking, Housing, and Urban Affairs",Committee on Finance,Committee on Rules and Administration,Committee on the Budget,Joint Committee on the Library,Select Committee on Intelligence,,,Mark,Warner,Mark R. Warner
"Warnock, Raphael G.","Committee on Agriculture, Nutrition, and Forestry","Committee on Banking, Housing, and Urban Affairs","Committee on Commerce, Science, and Transportation",Special Committee on Aging,,,,,Raphael,Warnock,Raphael G. Warnock
"Warren, Elizabeth",Committee on Armed Services,"Committee on Banking, Housing, and Urban Affairs",Committee on Finance,Special Committee on Aging,,,,,Elizabeth,Warren,Elizabeth Warren
"Welch, Peter","Committee on Agriculture, Nutrition, and Forestry","Committee on Commerce, Science, and Transportation",Committee on Rules and Administration,Committee on the Judiciary,Joint Economic Committee,,,,Peter,Welch,Peter Welch
"Whitehouse, Sheldon",Commission on Security and Cooperation in Europe,Committee on Environment and Public Works,Committee on Finance,Committee on the Budget,Committee on the Judiciary,United States Senate Caucus on International Narcotics Control,,,Sheldon,Whitehouse,Sheldon Whitehouse
"Wicker, Roger F.",Commission on Security and Cooperation in Europe,Committee on Armed Services,"Committee on Commerce, Science, and Transportation",Committee on Environment and Public Works,Committee on Rules and Administration,Select Committee on Intelligence,,,Roger,Wicker,Roger F. Wicker
"Wyden, Ron",Committee on Energy and Natural Resources,Committee on Finance,Committee on the Budget,Joint Committee on Taxation,Select Committee on Intelligence,,,,Ron,Wyden,Ron Wyden
"Young, Todd","Committee on Commerce, Science, and Transportation",Committee on Finance,Committee on Foreign Relations,Committee on Small Business and Entrepreneurship,,,,,Todd,Young,Todd Young
,,,,,,,,,,,
